iter	RMSE
0	12.67668363
1	11.71571281
2	10.82209462
3	9.985001299
4	9.276588543
5	8.655869847
6	8.028397655
7	7.454017925
8	6.957698595
9	6.524278438
10	6.115151541
11	5.755727646
12	5.420807872
13	5.143021958
14	4.882400753
15	4.671403161
16	4.465907307
17	4.304768923
18	4.148224544
19	4.012576264
20	3.905677775
21	3.801313983
22	3.707816495
23	3.641787496
24	3.586292395
25	3.533693554
26	3.485658764
27	3.441652603
28	3.403731764
29	3.367162056
30	3.330914305
31	3.308826469
32	3.288206015
33	3.269338699
34	3.253155836
35	3.240725281
36	3.229366184
37	3.218615294
38	3.208698566
39	3.196659957
40	3.188536143
41	3.183695742
42	3.174847011
43	3.167409697
44	3.162095307
45	3.158331352
46	3.153573698
47	3.149327112
48	3.146313279
49	3.142635222
50	3.139865958
51	3.133195218
52	3.131165071
53	3.130335676
54	3.128262521
55	3.125899308
56	3.124697864
57	3.121184746
58	3.119420417
59	3.117843857
60	3.115740966
61	3.114394638
62	3.112721062
63	3.110935806
64	3.108862739
65	3.106940785
66	3.105199665
67	3.104388307
68	3.103332939
69	3.100986395
70	3.099573851
71	3.098072512
72	3.097458651
73	3.096858238
74	3.095366786
75	3.09463911
76	3.09122882
77	3.089370166
78	3.08814353
79	3.087187813
80	3.086688289
81	3.085853035
82	3.08445632
83	3.083069471
84	3.081049274
85	3.079957234
86	3.078632347
87	3.077853385
88	3.077587386
89	3.07493201
90	3.074671809
91	3.074003377
92	3.072537628
93	3.070323294
94	3.06936034
95	3.067484917
96	3.066138454
97	3.064728445
98	3.063968169
99	3.063603023
100	3.063333179
101	3.061253796
102	3.060268089
103	3.05885072
104	3.058515625
105	3.058203862
106	3.056903485
107	3.056671437
108	3.056389799
109	3.056140305
110	3.055882851
111	3.055690445
112	3.055485246
113	3.053006609
114	3.050726695
115	3.050592289
116	3.048450989
117	3.047167395
118	3.044454794
119	3.043180911
120	3.042566263
121	3.042368508
122	3.042185797
123	3.041064818
124	3.039407949
125	3.037903734
126	3.037204696
127	3.03707073
128	3.034803186
129	3.034701331
130	3.034557211
131	3.032760369
132	3.032629222
133	3.031615163
134	3.030215964
135	3.030080375
136	3.028575087
137	3.027793089
138	3.026076981
139	3.02595308
140	3.024514487
141	3.023714674
142	3.022302407
143	3.022192129
144	3.021087003
145	3.020402423
146	3.019745283
147	3.018448848
148	3.017411224
149	3.017065877
150	3.016859554
151	3.016167956
152	3.015937279
153	3.015843682
154	3.015764343
155	3.015595806
156	3.014123837
157	3.013394605
158	3.013305039
159	3.011288287
160	3.011233936
161	3.010400469
162	3.008412511
163	3.007687819
164	3.006497696
165	3.004845552
166	3.003185104
167	3.00238198
168	3.001853418
169	3.00122223
170	3.00114059
171	3.001087943
172	2.999631459
173	2.999558462
174	2.999499487
175	2.998854205
176	2.998783302
177	2.9987278
178	2.997904833
179	2.996540497
180	2.995425929
181	2.99538621
182	2.993916831
183	2.993859243
184	2.993451906
185	2.993083115
186	2.992025127
187	2.991400501
188	2.98923654
189	2.987394983
190	2.986177398
191	2.985345557
192	2.985064823
193	2.984636193
194	2.983291726
195	2.983239129
196	2.982683133
197	2.98141724
198	2.981373414
199	2.979413505
