iter	Passed	Remaining
0	145	28988
1	146	14475
2	146	9629
3	147	7206
4	147	5756
5	148	4787
6	148	4094
7	148	3574
8	149	3170
9	149	2845
10	150	2579
11	150	2358
12	150	2170
13	151	2010
14	151	1870
15	152	1748
16	152	1640
17	152	1544
18	153	1459
19	153	1382
20	153	1312
21	154	1248
22	154	1190
23	155	1137
24	155	1088
25	155	1042
26	156	1000
27	156	961
28	156	925
29	157	891
30	157	859
31	158	830
32	158	801
33	158	775
34	159	750
35	159	727
36	160	705
37	160	683
38	160	663
39	161	644
40	161	626
41	161	609
42	162	593
43	162	577
44	163	562
45	163	547
46	163	533
47	164	520
48	164	507
49	165	495
50	165	483
51	166	472
52	166	461
53	166	450
54	167	440
55	167	430
56	167	421
57	168	412
58	168	403
59	169	394
60	169	386
61	169	377
62	170	370
63	170	362
64	170	355
65	171	348
66	171	341
67	172	334
68	172	327
69	173	321
70	173	315
71	173	309
72	174	303
73	174	297
74	174	291
75	175	286
76	175	280
77	176	275
78	176	270
79	176	265
80	177	260
81	177	255
82	177	250
83	178	246
84	178	241
85	179	237
86	179	233
87	179	228
88	180	224
89	180	220
90	181	216
91	181	212
92	181	209
93	182	205
94	182	201
95	182	198
96	183	194
97	183	191
98	184	187
99	184	184
100	184	181
101	185	177
102	185	174
103	185	171
104	186	168
105	186	165
106	186	162
107	187	159
108	187	156
109	188	153
110	188	151
111	188	148
112	189	145
113	189	142
114	189	140
115	190	137
116	190	135
117	190	132
118	191	130
119	191	127
120	192	125
121	192	123
122	192	120
123	193	118
124	193	116
125	193	113
126	194	111
127	194	109
128	194	107
129	195	105
130	195	103
131	196	101
132	196	98
133	196	96
134	197	94
135	197	92
136	197	91
137	198	89
138	198	87
139	198	85
140	199	83
141	199	81
142	200	79
143	200	77
144	200	76
145	201	74
146	201	72
147	201	70
148	202	69
149	202	67
150	203	65
151	203	64
152	203	62
153	204	60
154	204	59
155	204	57
156	205	56
157	205	54
158	205	53
159	206	51
160	206	50
161	206	48
162	207	47
163	207	45
164	208	44
165	208	42
166	208	41
167	209	39
168	209	38
169	209	37
170	210	35
171	210	34
172	211	32
173	211	31
174	211	30
175	212	28
176	212	27
177	212	26
178	213	25
179	213	23
180	213	22
181	214	21
182	214	19
183	215	18
184	215	17
185	215	16
186	216	15
187	216	13
188	216	12
189	217	11
190	217	10
191	218	9
192	218	7
193	218	6
194	219	5
195	219	4
196	219	3
197	220	2
198	220	1
199	221	0
